state,n_positive,feature_type,model,auroc_mean,auroc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auroc_group_2,auroc_group_3,auroc_group_4,auroc_group_5,auroc_group_6,auroc_group_7,auroc_group_8,auroc_group_9,auroc_group_10
Optimistic,88,prosodic,LogisticRegression,0.567775974025974,0.0,0.7317073170731707,0.0,0.7894736842105263,0.0,0.6818181818181818,0.0,0.7843137254901962,0.3466666666666667,0.7777777777777778,0.5,0.8125,0.6,0.875,0.6,0.75
Optimistic,88,prosodic,RandomForest,0.47735389610389606,0.024268869709552915,0.8588276687947234,0.00272830164762255,0.7591768019111078,0.0026004172475239656,0.9886363636363636,0.007186994682200855,0.7745098039215685,0.3466666666666666,0.7777777777777777,0.2,0.384375,0.61,0.7875,0.89,0.60625
Optimistic,88,prosodic,SVM,0.36700487012987015,0.024050367136201255,0.6583850931677019,0.0,0.726027397260274,0.0,0.6022727272727273,0.0,0.1568627450980392,0.40800000000000003,0.48888888888888893,0.4,0.4875,0.28888888888888886,0.375,0.30000000000000004,0.28125
Optimistic,88,transcript,LogisticRegression,0.6079545454545454,0.0,0.8131868131868132,0.0,0.7872340425531915,0.0,0.840909090909091,1.1102230246251565e-16,0.5294117647058824,0.6399999999999999,0.7777777777777778,0.75,0.5625,0.6111111111111112,1.0,0.8,0.75
Optimistic,88,transcript,RandomForest,0.5603896103896104,0.01662158510537063,0.8647514997805199,0.0027478058861636705,0.7643935926773455,0.0010089431434804766,0.9954545454545455,0.005567022142689036,0.7117647058823531,0.6253333333333334,0.34444444444444444,0.1625,0.490625,0.5755555555555555,0.3875,0.8400000000000001,0.975
Optimistic,88,transcript,SVM,0.4959415584415584,0.021920093331261322,0.8290155440414507,0.0,0.7619047619047619,0.0,0.909090909090909,1.1102230246251565e-16,0.7058823529411765,0.6133333333333334,0.3333333333333333,0.375,0.46875,0.6444444444444444,0.525,0.9,1.0
Optimistic,88,combined,LogisticRegression,0.5673701298701299,0.0,0.7954545454545454,0.0,0.7954545454545454,0.0,0.7954545454545454,0.0,0.4313725490196079,0.5333333333333333,0.7777777777777778,0.5,0.59375,0.6222222222222222,0.875,0.6,0.9375
Optimistic,88,combined,RandomForest,0.5553571428571429,0.020848858554344363,0.8641732964951089,0.002356803176543063,0.7621668113311765,0.002991463873907443,0.9977272727272727,0.004545454545454541,0.7058823529411765,0.6279999999999999,0.4111111111111111,0.2625,0.49375,0.5522222222222222,0.35,0.9400000000000001,0.975
Optimistic,88,combined,SVM,0.44602272727272724,0.028381247951494243,0.8307692307692308,0.0,0.7570093457943925,0.0,0.9204545454545453,1.1102230246251565e-16,0.6470588235294119,0.5733333333333333,0.3333333333333333,0.25,0.46875,0.6333333333333333,0.475,0.9,0.9375
Confused,58,prosodic,LogisticRegression,0.5110837438423645,0.0,0.7130434782608696,0.0,0.7192982456140351,0.0,0.7068965517241379,0.0,0.5833333333333333,0.36363636363636365,0.3333333333333333,0.6666666666666666,0.5,0.5694444444444444,0.875,0.9,0.0
Confused,58,prosodic,RandomForest,0.48719211822660097,0.013256232231659525,0.732164902193026,0.011591373078478904,0.6522265827471306,0.007819878015473765,0.8344827586206897,0.017582825908940638,0.7166666666666666,0.37636363636363634,0.4333333333333333,0.2,0.37249999999999994,0.711111111111111,0.5875,0.18,0.8666666666666666
