state,n_positive,feature_type,model,auroc_mean,auroc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
Optimistic,88,prosodic,LogisticRegression,0.567775974025974,0.0,0.7317073170731707,0.0,0.7894736842105263,0.0,0.6818181818181818,0.0
Optimistic,88,prosodic,RandomForest,0.47735389610389606,0.024268869709552915,0.8588276687947234,0.00272830164762255,0.7591768019111078,0.0026004172475239656,0.9886363636363636,0.007186994682200855
Optimistic,88,prosodic,SVM,0.36700487012987015,0.024050367136201255,0.6583850931677019,0.0,0.726027397260274,0.0,0.6022727272727273,0.0
Optimistic,88,transcript,LogisticRegression,0.5750811688311689,0.0,0.7865168539325843,0.0,0.7777777777777778,0.0,0.7954545454545454,0.0
Optimistic,88,transcript,RandomForest,0.3868506493506494,0.013168751720795738,0.8627450980392158,1.1102230246251565e-16,0.7586206896551724,0.0,1.0,0.0
Optimistic,88,transcript,SVM,0.3522727272727273,0.02500079059299765,0.8282828282828284,1.1102230246251565e-16,0.7454545454545455,0.0,0.9318181818181819,1.1102230246251565e-16
Optimistic,88,combined,LogisticRegression,0.5235389610389609,7.021666937153402e-17,0.8066298342541437,0.0,0.7849462365591398,0.0,0.8295454545454547,1.1102230246251565e-16
Optimistic,88,combined,RandomForest,0.3929383116883117,0.033759208809699716,0.8627450980392158,1.1102230246251565e-16,0.7586206896551724,0.0,1.0,0.0
Optimistic,88,combined,SVM,0.3637987012987013,0.0241858601564252,0.8383838383838385,1.1102230246251565e-16,0.7545454545454545,0.0,0.9431818181818181,1.1102230246251565e-16
Confused,58,prosodic,LogisticRegression,0.5110837438423645,0.0,0.7130434782608696,0.0,0.7192982456140351,0.0,0.7068965517241379,0.0
Confused,58,prosodic,RandomForest,0.48719211822660097,0.013256232231659525,0.732164902193026,0.011591373078478904,0.6522265827471306,0.007819878015473765,0.8344827586206897,0.017582825908940638
Confused,58,prosodic,SVM,0.3808497536945813,0.02133778401040744,0.5473684210526316,0.0,0.7027027027027027,0.0,0.44827586206896547,5.551115123125783e-17
Confused,58,transcript,LogisticRegression,0.7136699507389163,0.0,0.8,0.0,0.7741935483870968,0.0,0.8275862068965518,1.1102230246251565e-16
